名稱 (Name),屬性分類,屬性名稱,屬性值 (Property Value),屬性值2,Name,Property Value
0,0,武器,,,,
1,0,定點王,,,,
出土魔像,stats,guard_regenerate,5,,Excavated Golem,
,,guard_power,5,,,
魔像鑄工,stats,guard_regenerate,7,,Builder Golem,
,,guard_power,7,,,
,other,enhancer,出土魔像,,,Excavated Golem
水母德索,stats,guard_regenerate,7,,Meduso,
,,guard_power,7,,,
,,aggro,20%,body.dodge,,
,,motion_speed,1%,body.defense,,
,other,enhancer,魔像鑄工,,,
虛假黑騎士,stats,str,3%,,Black Knight of Delusion,
,,atk,4%,,,
,,def,-9%,,,
,,critical_rate,2%,,,
卦莫爾,stats,str,5%,,Gwaimol,
,,atk,6%,,,
,,def,-15%,,,
,,critical_rate,4%,,,
,other,enhancer,虛假黑騎士,,,Black Knight of Delusion
塔利結晶獸,stats,str,6%,,Hexter,
,,atk,8%,,,
,,def,-21%,,,
,,critical_rate,6%,,,
,other,enhancer,卦莫爾,,,Gwaimol
東．普羅芬多,stats,str,7%,,Don profundo,
,,atk,10%,,,
,,def,-27%,,,
,,critical_rate,8%,,,
,other,enhancer,塔利結晶獸,,,
魔晶獸,stats,matk,4%,,Evil Crystal Beast,
,,magic_pierce,3,,,
,,aggro,-5,,,
,,mdef,-12%,,,
香菇咪,stats,matk,6%,,Shampy,
,,magic_pierce,5,,,
,,aggro,-7,,,
,,mdef,-18%,,,
,other,enhancer,魔晶獸,,,Evil Crystal Beast
移儡原生素體,stats,matk,8%,,Irestida,
,,magic_pierce,6,,,
,,aggro,-9,,,
,,mdef,-24%,,,
,other,enhancer,香菇咪,,,Shampy
巴圖德,stats,matk,10%,,Vatudo,
,,magic_pierce,7%,,,
,,aggro,-11%,,,
,,mdef,-30%,,,
,other,enhancer,移儡原生素體,,,
佐魯邦,stats,atk,4%,,Zolban,
,,matk,4%,,,
,,natural_hp_regen,-10%,,,
,,natural_mp_regen,-10%,,,
伏地蛇,stats,atk,6%,,Repthon,
,,matk,6%,,,
,,natural_hp_regen,-10%,,,
,,natural_mp_regen,-10%,,,
,other,enhancer,佐魯邦,,,Zolban
樂龍雷多爾基,stats,atk,10%,,Brass Dragon Reguita,
,,matk,10%,,,
,,natural_hp_regen,-12%,,,
,,natural_mp_regen,-12%,,,
,other,enhancer,伏地蛇,,,Repthon
豪德威斯,stats,atk,12%,,Goudvis,
,,matk,12%,,,
,,natural_hp_regen,-14%,,,
,,natural_mp_regen,-14%,,,
,other,enhancer,樂龍雷多爾基,,,
多雷米納雷爾,stats,atk,8%,,Dominaredor,
,,matk,8%,,,
,,max_hp,1000,,,
,,max_mp,100,,,
,other,enhancer,樂龍雷多爾基,,,
,obtain,event,,,,
,,name,,,,
,,map,第8回馬奇史東之路,,,
凝態戰將,stats,attack_mp_recovery,2,,Imitator,
,,atk,5%,,,
,,anticipate,10,,,
馬爾杜拉,stats,atk,7%,,Mardula,
,,attack_mp_recovery,4,,,
,,anticipate,12,,,
,other,enhancer,凝態戰將,,,Imitator
威琉魔,stats,atk,9%,,Velum,
,,attack_mp_recovery,6,,,
,,anticipate,13,,,
,,max_mp,-100,,,
,other,enhancer,馬爾杜拉,,,Mardula
畸弗美斯,stats,atk,11%,,Deformis,
,,attack_mp_recovery,8,,,
,,anticipate,14,,,
,,max_mp,-200,,,
,other,enhancer,威琉魔,,,
凝態古利絲,stats,matk,5%,,Imitacia,
,,max_mp,200,,,
,,guard_break,10,,,
暗龍費因斯坦,stats,matk,7%,,Finstern the Dark Dragon,
,,max_mp,300,,,
,,guard_break,12,,,
,other,enhancer,凝態古利絲,,,Imitacia
奧克拉辛,stats,matk,9%,,Oculasignio,
,,max_mp,300,,,
,,guard_break,13,,,
,other,enhancer,暗龍費因斯坦,,,Finstern the Dark Dragon
蔓迪,stats,matk,11%,,Menti,
,,max_mp,300,,,
,,guard_break,14,,,
,,aspd,250,sub.shield,,
,other,enhancer,奧克拉辛,,,
甘瑞夫,stats,dex,2%,,Ganglef,
,,atk,3%,,,
,,aspd,1%,,,
馬其納暴君,stats,dex,4%,,Tyrant Machina,
,,atk,6%,,,
,,aspd,2%,,,
,other,enhancer,甘瑞夫,,,Ganglef
月圓巨蟹,stats,vit,4%,,Giant Moon Crab,
,,atk,6%,,,
,,motion_speed,1,,,
,other,enhancer,甘瑞夫,,,Ganglef
魔晶鷲,stats,atk,7%,,Vulture,
,,dex,5%,,,
,,aspd,3%,,,
,other,enhancer,馬其納暴君,,,Tyrant Machina
欺龍米繆加,stats,atk,9%,,Trickster Dragon Mimyugon,
,,dex,7%,,,
,,aspd,5%,,,
,other,enhancer,魔晶鷲,,,Vulture
爆山,stats,atk,11%,,Bakuzan,
,,dex,9%,,,
,,aspd,7%,,,
,other,enhancer,欺龍米繆加,,,
惡魔之門,stats,dex,2%,,Demon's Gate,
,,matk,3%,,,
,,cspd,1%,,,
龍獸馬其納,stats,matk,6%,,Mozto Machina,
,,dex,4%,,,
,,cspd,2%,,,
,other,enhancer,惡魔之門,,,Demon's Gate
皮斯泰烏魚,stats,matk,7%,,Pisteus,
,,dex,5%,,,
,,cspd,3%,,,
,other,enhancer,龍獸馬其納,,,Mozto Machina
惡龍法奇諾,stats,matk,9%,,Wicked Dragon Fazzino,
,,dex,7%,,,
,,cspd,5%,,,
,other,enhancer,皮斯泰烏魚,,,Pisteus
隆迪奈,stats,matk,11%,,Rondine,
,,dex,9%,,,
,,cspd,7%,,,
,other,enhancer,惡龍法奇諾,,,
石柱魔像,stats,max_mp,300,,Pillar Golem,
,,short_range_damage,3,,,
,,physical_pierce,3,,,
終極馬其納,stats,max_mp,400,,Ultimate Machina,
,,short_range_damage,4,,,
,,physical_pierce,4,,,
,other,enhancer,石柱魔像,,,Pillar Golem
炎龍布蘭瑪,stats,max_mp,400,,Vlam the Flame Dragon,
,,short_range_damage,6,,,
,,physical_pierce,7,,,
,other,enhancer,終極馬其納,,,Ultimate Machina
真·魔晶獸,stats,max_mp,400,,Supreme Evil Crystal Beast,
,,short_range_damage,8,,,
,,physical_pierce,10,,,
,other,enhancer,炎龍布蘭瑪,,,
札哈克馬其納,stats,attack_mp_recovery,5,,Zahhak Machina,
,,physical_barrier,1000,,,
,,magical_barrier,1000,,,
虐爪的鐵魔女,stats,short_range_damage,5,,Clawed Iron Witch,
,,attack_mp_recovery,10,,,
,,physical_barrier,2000,,,
,,magical_barrier,2000,,,
,other,enhancer,札哈克馬其納,,,Zahhak Machina
轟龍波比納利,stats,short_range_damage,7,,Raging Dragon Bovinari,
,,attack_mp_recovery,15,,,
,,physical_barrier,3000,,,
,,magical_barrier,3000,,,
,other,enhancer,虐爪的鐵魔女,,,Clawed Iron Witch
女王薔薇蜜,stats,long_range_damage,5,,Rosemee,
,,attack_mp_recovery,5,,,
,,magic_pierce,5%,,,
,,critical_rate,5%,,,
